"Subs. Service Line No.","Compute Type","Active","Usage Line Number","Metered service date","Sub Account","Computed Quantity","Existing Entitled Qty","Usage Quantity","UOM","Product","Parent Product","Net Unit Price","SPM Document Number","Line Net Amount","Bill To Plan Number","Consumed Quantity","Overage","Compute Source","Status","Available Amt After Computing","Is Credit Memo?","Spm Partner Credit Amt","Bill to Customer","Trxn Extension ID","Line Net Amount Increased Precision","UCM Payment Credit Amt"
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",379192.55993,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",378851.22558,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-30-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",380051.33993,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",378409.85456,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-29-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",382844.02711,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-30-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",380689.51467,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-29-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",381756.91280,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-29-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",382254.18823,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",378466.06493,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",378856.53017,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",379135.50806,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",378571.94862,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",379520.58357,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-29-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",381990.00790,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-29-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",382630.12938,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",378298.36535,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"07-30-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",380618.84245,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-30-2021","",4,0,4,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",20.06000,"",0,"false","","Invoiced | Acknowledged by AR",381186.93735,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,20.06120,
"1.007","Usage","true",,"07-31-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10130920 - 08-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",379358.75676,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
