"Subs. Service Line No.","Compute Type","Active","Usage Line Number","Metered service date","Sub Account","Computed Quantity","Existing Entitled Qty","Usage Quantity","UOM","Product","Parent Product","Net Unit Price","SPM Document Number","Line Net Amount","Bill To Plan Number","Consumed Quantity","Overage","Compute Source","Status","Available Amt After Computing","Is Credit Memo?","Spm Partner Credit Amt","Bill to Customer","Trxn Extension ID","Line Net Amount Increased Precision","UCM Payment Credit Amt"
"1.007","Usage","true",,"08-01-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",377120.46831,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-02-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",376227.11143,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-01-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",377517.59051,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-02-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",375892.43458,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-01-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",378020.04813,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-02-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",376450.52481,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-02-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",376170.18941,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-02-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",376672.72319,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-01-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",377908.39088,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
"1.007","Usage","true",,"08-02-2021","",1,0,1,"OCPU PER HOUR","B90572 - Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.0153000,"10378190 - 09-01-2021 - 0",5.02000,"",0,"false","","Invoiced | Acknowledged by AR",375674.29274,"false",,"10208161 - Bb Tecnologia E Servicos S.A",,5.01530,
